iter	Passed	Remaining
0	219	175669
1	282	112524
2	316	84084
3	396	78933
4	460	73206
5	485	64198
6	507	57488
7	563	55793
8	609	53586
9	651	51458
10	666	47798
11	683	44888
12	733	44376
13	764	42933
14	783	41009
15	833	40840
16	856	39465
17	925	40218
18	956	39327
19	985	38448
20	1048	38900
21	1096	38788
22	1180	39888
23	1210	39153
24	1232	38222
25	1309	38983
26	1343	38452
27	1358	37457
28	1410	37494
29	1438	36913
30	1466	36379
31	1483	35615
32	1573	36578
33	1597	35995
34	1656	36209
35	1712	36344
36	1795	37018
37	1823	36569
38	1887	36839
39	1912	36334
40	1958	36247
41	2004	36170
42	2026	35673
43	2042	35097
44	2074	34798
45	2126	34849
46	2206	35351
47	2231	34953
48	2260	34644
49	2274	34117
50	2288	33605
51	2389	34377
52	2466	34758
53	2544	35155
54	2578	34925
55	2623	34859
56	2704	35259
57	2789	35681
58	2889	36291
59	2953	36432
60	3008	36452
61	3099	36898
62	3121	36518
63	3195	36749
64	3280	37090
65	3361	37388
66	3428	37514
67	3500	37683
68	3580	37928
69	3655	38121
70	3681	37800
71	3749	37908
72	3764	37491
73	3893	38196
74	3967	38353
75	4026	38362
76	4074	38261
77	4114	38081
78	4167	38039
79	4214	37928
80	4230	37555
81	4243	37158
82	4255	36760
83	4281	36495
84	4338	36495
85	4357	36181
86	4422	36247
87	4491	36339
88	4549	36343
89	4594	36245
90	4672	36400
91	4691	36103
92	4722	35904
93	4782	35922
94	4841	35927
95	4854	35599
96	4874	35325
97	4883	34982
98	4895	34667
99	4922	34460
100	4988	34522
101	5057	34606
102	5068	34301
103	5143	34422
104	5213	34505
105	5283	34589
106	5338	34575
107	5397	34585
108	5420	34364
109	5433	34080
110	5501	34147
111	5528	33959
112	5582	33938
113	5621	33828
114	5667	33760
115	5720	33732
116	5734	33475
117	5763	33309
118	5788	33127
119	5809	32917
120	5820	32662
121	5835	32431
122	5880	32369
123	5938	32374
124	5952	32143
125	6007	32136
126	6070	32168
127	6131	32191
128	6156	32023
129	6184	31872
130	6214	31738
131	6263	31698
132	6319	31694
133	6386	31739
134	6450	31774
135	6484	31660
136	6526	31586
137	6541	31381
138	6560	31197
139	6588	31061
140	6637	31022
141	6648	30805
142	6691	30743
143	6766	30826
144	6795	30695
145	6820	30550
146	6855	30454
147	6906	30424
148	6931	30284
149	6947	30105
150	6957	29902
151	7008	29877
152	7042	29781
153	7107	29814
154	7166	29822
155	7220	29809
156	7260	29737
157	7339	29821
158	7355	29653
